"","Job.Family","Department.Code","Salaries","Year","Overtime","Union","Total.Benefits","Retirement","Total.Compensation"
"3765","Clerical, Secretarial & Steno","MTA",58670.84,2018,2429.69,"SEIU, Local 1021, Misc",33129.52,13374.33,94841.97
"3766","Street Transit","MTA",14370.37,2018,0,"TWU, Local 250-A, TransitOpr",7539.89,2758.83,22160.26
"3767","Journeyman Trade","MTA",90380.02,2018,0,"Auto Machinist, Local 1414",40854.32,17483.04,131988.54
"3768","Street Transit","MTA",81080.97,2018,41125.54,"TWU, Local 250-A, TransitOpr",42400.88,16093.8,167955.32
"3769","Street Transit","MTA",77527.16,2018,8670.22,"TWU, Local 250-A, TransitOpr",39954.95,16664.29,136120.75
"3770","Budget, Admn & Stats Analysis","MTA",102090.04,2018,0,"SEIU, Local 1021, Misc",41704.82,19585.3,143794.86
"3771","Street Transit","MTA",79373.21,2018,34179.64,"TWU, Local 250-A, TransitOpr",41683.5,16247.19,161101.27
"3772","Protection & Apprehension","MTA",11753.55,2018,0,"SEIU, Local 1021, Misc",925.15,0,12678.7
"3773","Street Transit","MTA",63422.96,2018,10297.83,"TWU, Local 250-A, TransitOpr",31923.71,12903.7,110002.78
"3774","Street Transit","MTA",76455.63,2018,5214.69,"TWU, Local 250-A, TransitOpr",37245.36,15092.81,121663.79
"3775","Street Transit","MTA",55033.52,2018,5915.74,"TWU, Local 250-A, TransitOpr",17682.35,12783.42,80819.11
"3776","Street Transit","MTA",78322.6,2018,8548.85,"TWU, Local 250-A, TransitOpr",39459.98,16315.72,133592.4
"3777","Street Transit","MTA",85191.8,2018,56506.15,"TWU, Local 200",44139,17530.29,190922.61
"3778","Street Transit","MTA",162666.01,2018,0,"Municipal Exec Assoc, Misc",58867.46,30418.08,221533.47
"3779","MTA Operations","MTA",76025.05,2018,165.5,"SEIU, Local 1021, Misc",35816.87,14584.93,112007.42
"3780","Street Transit","MTA",79281.94,2018,23564.43,"TWU, Local 250-A, TransitOpr",40375.73,15890.53,147306.61
"3781","Protection & Apprehension","MTA",69129.4,2018,3270.08,"SEIU, Local 1021, Misc",34858.63,13939,111088.98
"3782","Protection & Apprehension","MTA",69498.46,2018,6031.13,"SEIU, Local 1021, Misc",34840.8,13735.01,112767.56
"3783","Street Transit","MTA",75793.7,2018,931.5,"TWU, Local 250-A, TransitOpr",36092.62,14630.76,113834.95
"3784","Street Transit","MTA",71219.91,2018,7054.07,"TWU, Local 250-A, TransitOpr",35137.4,13665,113978.14
"3785","Clerical, Secretarial & Steno","MTA",60256.9,2018,20641.29,"SEIU, Local 1021, Misc",35009.42,13592.85,115907.61
"3786","Street Transit","MTA",36694.87,2018,5563.79,"TWU, Local 250-A, TransitOpr",18887.55,7160.67,62061.23
"3787","Protection & Apprehension","MTA",3441,2018,0,"SEIU, Local 1021, Misc",267.07,0,3708.07
"3788","Street Transit","MTA",69219.1,2018,23746.81,"SEIU, Local 1021, Misc",38425.51,15285.67,141846.65
"3789","Street Transit","MTA",69992.6,2018,10990.82,"TWU, Local 250-A, TransitOpr",34993.5,13429.98,116546.49
"3790","Clerical, Secretarial & Steno","MTA",8951.01,2018,0,"SEIU, Local 1021, Misc",4214.06,1715.81,13315.07
"3791","Street Transit","MTA",12900.7,2018,719.97,"TWU, Local 250-A, TransitOpr",8130.51,2961.62,22059.54
"3792","Professional Engineering","MTA",81612.01,2018,0,"Prof & Tech Eng, Local 21",35966.53,15656.28,117578.54
"3793","Street Transit","MTA",74141.04,2018,4934.32,"TWU, Local 250-A, TransitOpr",37484.91,14964.4,120975.68
"3794","Street Transit","MTA",11181.14,2018,0,"TWU, Local 250-A, TransitOpr",5906.96,2142.46,17361.18
"3795","Street Transit","MTA",74770.73,2018,20936.66,"TWU, Local 250-A, TransitOpr",37922.29,15233.48,138782.86
"3796","Street Transit","MTA",68395.05,2018,2937.21,"TWU, Local 250-A, TransitOpr",33882.31,13411.11,107281.41
"3797","Street Transit","MTA",54387.84,2018,14849.5,"TWU, Local 250-A, TransitOpr",29272.93,10547.54,99578.81
"3798","Street Transit","MTA",61159.42,2018,9038.85,"TWU, Local 250-A, TransitOpr",30485.49,11822.05,101691.86
"3799","Protection & Apprehension","MTA",66143.72,2018,1525.91,"SEIU, Local 1021, Misc",33372.6,13000.94,102973.74
"3800","Street Transit","MTA",74401.6,2018,2297.44,"TWU, Local 250-A, TranFare",35993.35,15196.1,118057.89
"3801","Public Service Aide","MTA",37326,2018,12474.79,"SEIU, Local 1021, Misc",27163.85,8512.13,77370.18
"3802","Street Transit","MTA",79418.88,2018,13648.96,"TWU, Local 250-A, TransitOpr",40085.74,16313.69,139374.51
"3803","Payroll, Billing & Accounting","MTA",57238.48,2018,59.74,"SEIU, Local 1021, Misc",25173.43,10992.36,82471.65
"3804","Street Transit","MTA",75615.21,2018,25067.2,"TWU, Local 250-A, TransitOpr",37688.24,14566.34,139242.49
"3805","Street Transit","MTA",74589.2,2018,24171.1,"TWU, Local 250-A, TransitOpr",37324.05,14636.11,138334.49
"3806","Street Transit","MTA",71938.05,2018,4646.72,"TWU, Local 250-A, TransitOpr",34884.37,14148.47,113819.3
"3807","Street Transit","MTA",79088.49,2018,15677.45,"TWU, Local 250-A, TransitOpr",38670.99,15249.51,134385.21
"3808","Street Transit","MTA",68844.5,2018,12911.29,"SEIU, Local 1021, Misc",36098.91,14151.73,122777.42
"3809","Payroll, Billing & Accounting","MTA",70147.97,2018,1504.1,"SEIU, Local 1021, Misc",34157.42,13457.08,105809.49
"3810","Protection & Apprehension","MTA",69747.01,2018,2573.97,"SEIU, Local 1021, Misc",34169.1,13380.55,106790.12
"3811","Journeyman Trade","MTA",94537.31,2018,55093.17,"Electrical Workers, Local 6",45931.95,18136.46,195562.43
"3812","Street Transit","MTA",146279.04,2018,0,"Municipal Exec Assoc, Misc",60104.35,27367.44,219345.29
"3813","Street Transit","MTA",71328.16,2018,15650.72,"TWU, Local 250-A, TransitOpr",36737.72,14065.15,126260.44
"3814","Street Transit","MTA",97245.48,2018,4595.2,"TWU, Local 200",42673.33,19357.17,148314.59
"3815","Street Transit","MTA",75936.34,2018,5302.32,"TWU, Local 250-A, TransitOpr",36556.15,14915.03,120147.6
"3816","Street Transit","MTA",75025.62,2018,701,"TWU, Local 250-A, TransitOpr",35793.37,14614.44,113212.72
"3817","Skilled Labor","MTA",69605.6,2018,38145.65,"TWU, Local 250-A, AutoServ",25625.93,15943.77,147129.69
"3818","Skilled Labor","MTA",87444.01,2018,55932.79,"Electrical Workers, Local 6",44943.38,17400.18,191570.18
"3819","Skilled Labor","MTA",69470.6,2018,17730.65,"TWU, Local 250-A, AutoServ",38012.14,15281.73,135650.14
"3820","Street Transit","MTA",60507.86,2018,654.51,"TWU, Local 250-A, TransitOpr",30643.36,12158.22,95208.76
"3821","Street Transit","MTA",48122.55,2018,702.4,"TWU, Local 250-A, TransitOpr",22738.46,9254.42,72219.24
"3822","Journeyman Trade","MTA",78161.29,2018,15170.09,"Auto Machinist, Local 1414",40057.01,17831.93,148125.38
"3823","Journeyman Trade","MTA",91081.91,2018,1929.59,"Electrical Workers, Local 6",41723.23,17477.99,134754.73
"3824","Street Transit","MTA",76946.36,2018,8864.31,"TWU, Local 250-A, TransitOpr",37254.22,14898.46,124319.32
"3825","Journeyman Trade","MTA",129748,2018,8009.59,"Electrical Workers, Local 6",54141.2,26324.82,202927.37
"3826","Street Transit","MTA",70584.66,2018,16770.37,"TWU, Local 250-A, TransitOpr",35925.63,13589.83,124084.09
"3827","Street Transit","MTA",83456.8,2018,23485.18,"TWU, Local 200",41291.01,16989.88,153482.02
"3828","Street Transit","MTA",71162.17,2018,8050.32,"TWU, Local 250-A, TransitOpr",34334.68,13730.36,114499.43
"3829","Journeyman Trade","MTA",90380,2018,0,"Auto Machinist, Local 1414",44258.09,20174.9,149425.39
"3830","Journeyman Trade","MTA",94146.04,2018,0,"Auto Machinist, Local 1414",41549.76,18060.82,135695.8
"3831","Public Service Aide","MTA",37244.82,2018,12271.37,"SEIU, Local 1021, Misc",12550.36,8492.52,62466.36
"3832","Professional Engineering","MTA",101774.31,2018,0,"Prof & Tech Eng, Local 21",41610.99,19524.5,143385.3
"3833","Street Transit","MTA",78464.24,2018,20482.17,"TWU, Local 250-A, TransitOpr",39842.65,15911.22,143816.09
"3834","Protection & Apprehension","MTA",10093.92,2018,0,"SEIU, Local 1021, Misc",783.45,0,10877.37
"3835","Street Transit","MTA",78739.01,2018,1620.02,"TWU, Local 250-A, TransitOpr",37870.87,15651.89,121628.37
"3836","Personnel","MTA",58169.02,2018,0,"Prof & Tech Eng, Local 21",25148.11,11189.51,92239.14
"3837","Journeyman Trade","MTA",104043.85,2018,56076.73,"Electrical Workers, Local 6",48669.35,21667.16,217650.31
"3838","Street Transit","MTA",105862.13,2018,2861.74,"Electrical Workers, Local 6",29504.25,20318.34,143250.29
"3839","Street Transit","MTA",505.75,2018,0,"TWU, Local 250-A, TransitOpr",294.71,114.45,1050.46
"3840","Personnel","MTA",92284.61,2018,0,"Prof & Tech Eng, Local 21",39029.7,17703.83,131314.31
"3841","Street Transit","MTA",77383.02,2018,9562.47,"TWU, Local 250-A, TransitOpr",37539.44,15051.97,126104.34
"3842","Street Transit","MTA",77205.09,2018,5690.68,"TWU, Local 250-A, TransitOpr",37144.08,15135.48,122273.69
"3843","Street Transit","MTA",42857.35,2018,4747.9,"TWU, Local 250-A, TransitOpr",26113.34,8499.5,75561.52
"3844","Payroll, Billing & Accounting","MTA",68869.14,2018,0,"SEIU, Local 1021, Misc",32644.55,13208.49,101513.69
"3845","Journeyman Trade","MTA",94548,2018,9776.78,"Electrical Workers, Local 6",43479.54,18235.85,148314.32
"3846","Street Transit","MTA",45898.95,2018,11834.22,"TWU, Local 250-A, TransitOpr",23419.97,9471.11,85051.42
"3847","Computer Operatns & Repro Svcs","MTA",60311.5,2018,13581.48,"SEIU, Local 1021, Misc",32673.09,12001.47,108816.92
"3848","Journeyman Trade","MTA",94537.3,2018,33670.13,"Electrical Workers, Local 6",45383.51,18136.46,173590.94
"3849","Street Transit","MTA",0,2018,0,"TWU, Local 250-A, TransitOpr",503.91,0,753.91
"3850","Professional Engineering","MTA",88476.14,2018,322.6,"Prof & Tech Eng, Local 21",37815.99,16971.63,126614.73
"3851","Street Transit","MTA",52389.9,2018,6482.52,"TWU, Local 250-A, TransitOpr",29398.35,11000.29,89614.6
"3852","Street Transit","MTA",48104.53,2018,6502.8,"TWU, Local 250-A, TransitOpr",23694.45,9235.94,78765.71
"3853","Street Transit","MTA",66220.26,2018,4867.54,"TWU, Local 250-A, TranFare",33126.41,13120.94,106956.82
"3854","Protection & Apprehension","MTA",69500,2018,3445.35,"SEIU, Local 1021, Misc",21085.93,13621.93,95837.31
"3855","Untitled","MTA",2438,2018,0,"Member, Board Or Commission",189.22,0,2627.22
"3856","Budget, Admn & Stats Analysis","MTA",92898.46,2018,0,"SEIU, Local 1021, Misc",40329.46,17821.75,133227.92
"3857","Street Transit","MTA",61180.35,2018,7781.27,"TWU, Local 250-A, TransitOpr",29361.74,11779.3,98985.28
"3858","Protection & Apprehension","MTA",62320.5,2018,47763.99,"SEIU, Local 1021, Misc",37417.06,13511.96,149882.42
"3859","Sub-Professional Engineering","MTA",4140.5,2018,0,"Prof & Tech Eng, Local 21",482.64,159.41,4623.14
"3860","Street Transit","MTA",53374.38,2018,9766.55,"TWU, Local 250-A, TransitOpr",33757.57,12625.34,100218.82
"3861","Street Transit","MTA",35935.67,2018,2373.65,"TWU, Local 250-A, TransitOpr",22485.9,8207,61750.26
"3862","Street Transit","MTA",53641.42,2018,6465.32,"TWU, Local 250-A, TransitOpr",33430.68,12675.58,96706.35
"3863","Journeyman Trade","MTA",91250,2018,66951.64,"Auto Machinist, Local 1414",48455.27,21261.3,226234.41
"3864","Street Transit","MTA",67711.63,2018,9233.33,"TWU, Local 250-A, TransitOpr",34725.88,13078.86,112692.57
"3865","Journeyman Trade","MTA",91250.06,2018,19346.51,"Auto Machinist, Local 1414",46088.06,20202.18,170742.15
"3866","Street Transit","MTA",57625.38,2018,4067.6,"TWU, Local 250-A, TransitOpr",33410.76,13047.16,95871.22
"3867","Street Transit","MTA",51864.61,2018,9916.03,"TWU, Local 250-A, TransitOpr",32558.73,11796.36,95329.98
"3868","Street Transit","MTA",31656.19,2018,2465.61,"TWU, Local 250-A, TransitOpr",18200.55,7463.85,54048.29
"3869","Street Transit","MTA",21585.88,2018,1540.7,"TWU, Local 250-A, TransitOpr",13172.48,4993.98,37174.05
"3870","Street Transit","MTA",52292.54,2018,5386.21,"TWU, Local 250-A, TransitOpr",32816.06,12173.18,92751.36
"3871","Budget, Admn & Stats Analysis","MTA",64348,2018,0,"SEIU, Local 1021, Misc",34486,14508.84,98834
"3872","Street Transit","MTA",41958.59,2018,4074.66,"TWU, Local 250-A, TransitOpr",26678.26,9578.62,73450.28
"3873","Street Transit","MTA",50247.08,2018,9067.46,"TWU, Local 250-A, TransitOpr",27113.25,9981.16,88768.6
"3874","Street Transit","MTA",68978.26,2018,7266.53,"TWU, Local 250-A, TransitOpr",35265.59,13443.52,113163.9
"3875","Professional Engineering","MTA",80460.87,2018,0,"Prof & Tech Eng, Local 21",35570.04,15436.6,116030.91
"3876","Journeyman Trade","MTA",93261.7,2018,13739.71,"Stationary Engineers, Local 39",42851.19,19681.88,159178.77
"3877","Street Transit","MTA",66455.03,2018,10032.53,"TWU, Local 250-A, TransitOpr",34291.34,12792.38,111562.05
"3878","Protection & Apprehension","MTA",57775.72,2018,5688.28,"SEIU, Local 1021, Misc",33314.67,13301.68,98263.83
"3879","Skilled Labor","MTA",69844.5,2018,0,"Prof & Tech Eng, Local 21",32863.71,13398.28,102708.21
"3880","Professional Engineering","MTA",93777.13,2018,0,"Prof & Tech Eng, Local 21",39384.02,17989.14,133161.15
"3881","Street Transit","MTA",5949.2,2018,0,"SEIU, Local 1021, Misc",3293.27,1201.29,10492.01
"3882","Street Transit","MTA",60075.81,2018,9897.33,"TWU, Local 250-A, TransitOpr",34126.55,12890.84,106220.39
"3883","Street Transit","MTA",57592.41,2018,11155.39,"TWU, Local 250-A, TransitOpr",34960.83,13470.34,106375.04
"3884","Street Transit","MTA",47876.91,2018,2797.8,"TWU, Local 250-A, TransitOpr",28027.49,10863.61,79538.29
"3885","Street Transit","MTA",3880.8,2018,0,"TWU, Local 250-A, TransitOpr",2464.66,880.21,6604.28
"3886","Street Transit","MTA",21356.32,2018,1729.08,"TWU, Local 250-A, TransitOpr",13622.45,4986.97,37753.96
"3887","Street Transit","MTA",21903.37,2018,1339.23,"TWU, Local 250-A, TransitOpr",14089.13,5107.06,38359.23
"3888","Journeyman Trade","MTA",94548.01,2018,48535.68,"Electrical Workers, Local 6",46565.91,18772.63,192955.48
"3889","Street Transit","MTA",58851.84,2018,3690.03,"TWU, Local 250-A, TransitOpr",29836.36,11384.59,93397.53
"3890","Journeyman Trade","MTA",94537.31,2018,8783.05,"Electrical Workers, Local 6",45336.56,19612.87,156355.76
"3891","Street Transit","MTA",42512.34,2018,2759.25,"TWU, Local 250-A, TransitOpr",27248.76,9940.44,74307.9
"3892","Street Transit","MTA",42962.97,2018,8082.86,"TWU, Local 250-A, TransitOpr",14218.98,10098.77,67311.15
"3893","Street Transit","MTA",66901.01,2018,22646.45,"TWU, Local 250-A, TransitOpr",35556.11,12841.05,125687.14
"3894","Street Transit","MTA",64970.27,2018,12148.3,"TWU, Local 250-A, TransitOpr",18529.58,12491.08,96348.42
"3895","Street Transit","MTA",38410.02,2018,2499.83,"TWU, Local 250-A, TransitOpr",24373.95,8928.06,66637.24
"3896","Protection & Apprehension","MTA",10852.58,2018,0,"SEIU, Local 1021, Misc",842.34,0,11694.92
"3897","Professional Engineering","MTA",75566.01,2018,0,"Prof & Tech Eng, Local 21",34408.21,14495.52,109974.22
"3898","Construction Inspection","MTA",96322.02,2018,12543.31,"Prof & Tech Eng, Local 21",40934.46,18611.37,150496.38
"3899","Street Transit","MTA",71577.64,2018,22208.9,"TWU, Local 250-A, TransitOpr",37812.43,14289.36,135057.33
"3900","Street Transit","MTA",12861.28,2018,0,"TWU, Local 250-A, TransitOpr",7664.24,2471.64,20787.06
"3901","Journeyman Trade","MTA",97026.01,2018,35238.15,"Electrical Workers, Local 6",46195.64,18613.78,178459.8
"3902","Journeyman Trade","MTA",94537.3,2018,31663.76,"Electrical Workers, Local 6",28299.2,18155.66,154600.26
"3903","Street Transit","MTA",116265.05,2018,11875.11,"TWU, Local 200",48684.45,22783,183523.85
"3904","Street Transit","MTA",166244.46,2018,0,"Municipal Exec Assoc, Misc",59432.18,31083.09,225676.64
"3905","Construction Project Mgmt","MTA",44608,2018,0,"Prof & Tech Eng, Local 21",15761.48,8372.91,61896.32
"3906","Professional Engineering","MTA",95827.26,2018,0,"Prof & Tech Eng, Local 21",39929.99,18382.69,135757.25
"3907","Street Transit","MTA",60377.41,2018,7220.81,"TWU, Local 250-A, TransitOpr",32140.74,12770.06,100552.36
"3908","Street Transit","MTA",42836.56,2018,5877.76,"TWU, Local 250-A, TransitOpr",14052.24,10101.46,64961.9
"3909","Street Transit","MTA",57739.16,2018,6102.91,"TWU, Local 250-A, TransitOpr",31565.85,12562.04,97557.39
"3910","Street Transit","MTA",65640.96,2018,2144.04,"TWU, Local 250-A, TransitOpr",21392.13,14328.02,92461.75
"3911","Street Transit","MTA",60486.78,2018,24913.05,"TWU, Local 250-A, TransitOpr",35015.12,12701.02,121166.42
"3912","Street Transit","MTA",55815.87,2018,12836.24,"TWU, Local 250-A, TransitOpr",31874.71,12072.33,103237.01
"3913","Street Transit","MTA",62757.86,2018,2789.21,"TWU, Local 250-A, TransitOpr",31298.46,12188.28,98167.29
"3914","Street Transit","MTA",60399.93,2018,3927.03,"TWU, Local 250-A, TransitOpr",32043.11,12701.65,96899.46
"3915","Street Transit","MTA",9378.94,2018,877.05,"TWU, Local 250-A, TransitOpr",9327.25,1855.06,20709.26
"3916","Street Transit","MTA",2491,2018,0,"TWU, Local 250-A, TranFare",1073.52,476.03,3576.06
"3917","Street Transit","MTA",58721.24,2018,7582.73,"TWU, Local 250-A, TransitOpr",32971.99,12407.17,100357.52
"3918","Street Transit","MTA",45012.03,2018,2916.65,"TWU, Local 250-A, TransitOpr",27104.67,10222.22,75835.67
"3919","Payroll, Billing & Accounting","MTA",76402.06,2018,0,"Prof & Tech Eng, Local 21",20883.78,14656.44,97285.84
"3920","Journeyman Trade","MTA",117072.02,2018,15178.56,"Electrical Workers, Local 6",50810.58,23174.44,188254.6
"3921","Street Transit","MTA",49582.17,2018,11521.09,"SEIU, Local 1021, Misc",15420.05,10429.72,76603.95
"3922","Purchasing & Storekeeping","MTA",62426,2018,28500.15,"SEIU, Local 1021, Misc",34228.32,11975.22,125154.47
"3923","Professional Engineering","MTA",97560.99,2018,0,"Prof & Tech Eng, Local 21",39029.46,18715.26,136590.45
"3924","Journeyman Trade","MTA",89282.1,2018,9753.49,"Auto Machinist, Local 1414",40241.24,17158.9,139456.83
"3925","Protection & Apprehension","MTA",14679.47,2018,0,"SEIU, Local 1021, Misc",1139.36,0,15818.83
"3926","Street Transit","MTA",64440.77,2018,16275.72,"TWU, Local 250-A, TransitOpr",35339.34,13644.91,117249.89
"3927","Street Transit","MTA",65380.08,2018,8008.59,"TWU, Local 250-A, TransitOpr",35557.17,13921.04,110724.57
"3928","Professional Engineering","MTA",68688.01,2018,0,"Prof & Tech Eng, Local 21",30426.53,13169.28,99114.54
"3929","Street Transit","MTA",57277.81,2018,17177.05,"TWU, Local 250-A, TransitOpr",35210.18,13287.56,111836.66
"3930","Street Transit","MTA",55970.75,2018,22634.52,"TWU, Local 250-A, TransitOpr",34623.08,13080.73,115776.02
"3931","Street Transit","MTA",65317.84,2018,22348.66,"TWU, Local 250-A, TransitOpr",34110.03,12573.63,122550.05
"3932","Street Transit","MTA",66488.04,2018,14119.65,"TWU, Local 250-A, TransitOpr",34030.79,12808.91,115424.2
"3933","Street Transit","MTA",59932.97,2018,12451.01,"TWU, Local 250-A, TransitOpr",35281.71,13838.7,109637.81
"3934","Information Systems","MTA",157829.6,2018,0,"Prof & Tech Eng, Local 21",54424.9,29513.25,212254.5
"3935","Street Transit","MTA",106099.1,2018,37123.12,"TWU, Local 200",48619.09,21873.76,202044.54
"3936","Information Systems","MTA",88638.71,2018,0,"Prof & Tech Eng, Local 21",37213.51,17004.09,125852.22
"3937","Sub-Professional Engineering","MTA",24139.59,2018,0,"Prof & Tech Eng, Local 21",1873.61,0,26013.2
"3938","Street Transit","MTA",142487.14,2018,0,"Municipal Exec Assoc, Misc",45875.32,26643.64,188362.46
"3939","Sub-Professional Engineering","MTA",1239.5,2018,0,"Prof & Tech Eng, Local 21",96.2,0,1335.7
"3940","Untitled","MYR",103293.6,2018,0,"Mgt. Unrepresented Employees",39433.64,19379.55,188533.54
"3941","Community Development","MYR",109922.07,2018,0,"SEIU, Local 1021, Misc",44338.05,21085.08,154260.12
"3942","Community Development","MYR",95584.66,2018,0,"SEIU, Local 1021, Misc",40585.81,18336.82,136170.47
"3943","Untitled","MYR",68392,2018,0,"Mgt. Unrepresented Employees",37023.4,14282,105415.4
"3944","Police Services","POL",213164.04,2018,6370.81,"POA",58861.04,39668.8,294635.41
"3945","Street Transit","MTA",35012.1,2018,1355.94,"SEIU, Local 1021, Misc",20161.97,8060.77,57317.58
"3946","Community Development","MYR",91447.92,2018,0,"SEIU, Local 1021, Misc",37535.1,17553.11,128983.02
"3947","Untitled","MYR",82026.87,2018,0,"Mgt. Unrepresented Employees",25590.3,15245.51,107617.17
"3948","Management","POL",194732.47,2018,0,"Municipal Exec Assoc, Misc",66761.72,36411.15,261494.19
"3949","Police Services","POL",127198.21,2018,4071.56,"POA",40855.09,23348.14,177337.18
"3950","Police Services","POL",121354.9,2018,0,"POA",36281.29,22268.94,158768.45
"3951","Police Services","POL",126597.58,2018,6729.32,"POA",41532.87,23698.87,182484.11
"3952","Police Services","POL",132821.7,2018,14319.01,"POA",42036.05,24372.86,190146.25
"3953","Police Services","POL",149698.93,2018,24019.95,"POA",47199.41,27447.34,229416.05
"3954","Street Transit","MTA",3292.73,2018,0,"TWU, Local 250-A, TransitOpr",1000.71,745.14,4293.44
"3955","Street Transit","MTA",27318.36,2018,2104.11,"TWU, Local 250-A, TransitOpr",8767.97,6391.79,39386.66
"3956","Street Transit","MTA",26569.07,2018,2374.95,"TWU, Local 250-A, TransitOpr",16792.39,6146.23,46597.6
"3957","Untitled","MYR",20850.01,2018,0,"Mgt. Unrepresented Employees",12607.39,4687.1,33457.4
"3958","Personnel","POL",109807.94,2018,24753.95,"Prof & Tech Eng, Local 21",31279.49,15894.57,262093.9
"3959","Police Services","POL",75611.38,2018,5079.5,"POA",22847.27,10993.79,151913.9
"3960","Sub-Professional Engineering","MTA",13127.6,2018,0,"Prof & Tech Eng, Local 21",1018.91,0,14146.51
"3961","Police Services","POL",85940.1,2018,150.69,"POA",23016.74,12447.63,194710.27
"3962","Budget, Admn & Stats Analysis","POL",124773.26,2018,0,"SEIU, Local 1021, Misc",31407.16,21930.31,291709.53
"3963","Journeyman Trade","MTA",39459.69,2018,2361.41,"Auto Machinist, Local 1414",18423.9,7545.35,60245
"3964","Legal & Court","PDR",205368,2018,0,"Municipal Attorneys Assoc",65901.59,38403.04,271269.59
"3965","Probation & Parole","PDR",77872,2018,0,"SEIU, Local 1021, Misc",36197.92,15131.12,115069.92
"3966","Police Services","POL",127198.24,2018,7857.95,"POA",40946.69,23348.15,182716.65
"3967","Police Services","POL",148874.81,2018,32832.36,"POA",45838.9,27080.6,255032.16
"3968","Street Transit","MTA",20880.06,2018,1239.01,"TWU, Local 250-A, TransitOpr",13256.57,4860.42,36197.46
"3969","Street Transit","MTA",20592.74,2018,1626.78,"TWU, Local 250-A, TransitOpr",12960.27,4689,35526.39
"3970","Legal & Court","PDR",251227,2018,0,"Elected Officials",76270.74,46978.66,327497.74
"3971","Legal & Court","PDR",220522.01,2018,0,"Municipal Attorneys Assoc",70000.51,42055.92,294902.96
"3972","Legal & Court","PDR",92390.01,2018,0,"Prof & Tech Eng, Local 21",39972.92,17893.28,133242.93
"3973","Management","PDR",151512,2018,0,"Municipal Exec Assoc, Misc",60679.83,28332.2,212191.83
"3974","Legal & Court","PDR",190512.81,2018,0,"Municipal Attorneys Assoc",62998.34,35621.92,253511.15
"3975","Police Services","POL",47030.65,2018,0,"POA",3650.33,0,50680.98
"3976","Public Service Aide","MTA",2526.4,2018,0,"Auto Machinist, Local 1414",215.69,0,2994.74
"3977","Legal & Court","PDR",56310,2018,0,"SEIU, Local 1021, Misc",23823.23,10836.1,80469.23
"3978","Police Services","POL",168648.17,2018,53856.89,"POA",50564.31,31514.93,281749.74
"3979","Police Services","POL",127198.24,2018,102251.81,"POA",42929.84,23811.65,276167.99
"3980","Police Services","POL",188048,2018,0,"POA",47065.9,33559.68,378079.32
"3981","Police Services","POL",113513.69,2018,24.48,"POA",35395.22,20849.54,149828.51
"3982","Clerical, Secretarial & Steno","POL",71864.77,2018,0.45,"SEIU, Local 1021, Misc",33756.22,13903.84,106217.71
"3983","Street Transit","MTA",16210,2018,3811.66,"TWU, Local 200",7694.06,3142.27,27940.64
"3984","Legal & Court","PDR",5016,2018,0,"SEIU, Local 1021, Misc",2860.04,1127.59,7876.04
"3985","Police Services","POL",128742.29,2018,36288.35,"POA",41548.47,23351.8,222379.73
"3986","Journeyman Trade","MTA",21250,2018,5020.31,"Electrical Workers, Local 6",9378.95,4060.9,35649.26
"3987","Street Transit","MTA",5087.6,2018,0,"TWU, Local 250-A, TransitOpr",3151.32,1143.69,8238.92
"3988","Street Transit","MTA",5087.6,2018,0,"TWU, Local 250-A, TransitOpr",3151.69,1143.69,8239.29
"3989","Legal & Court","PDR",140992.2,2018,0,"Municipal Attorneys Assoc",52772.65,26363.64,193764.85
"3990","Clerical, Secretarial & Steno","POL",62238,2018,1780.65,"SEIU, Local 1021, Misc",31959.59,12059.62,96602.24
"3991","Health & Sanitation Inspection","MTA",8440,2018,0,"Prof & Tech Eng, Local 21",1718.56,0,10158.56
"3992","Journeyman Trade","MTA",4250,2018,179.3,"Electrical Workers, Local 6",984.39,0,5413.69
"3993","Police Services","POL",147688.05,2018,53428.1,"POA",45797.41,27080.6,253547.13
"3994","Police Services","POL",152204,2018,13280.89,"POA",49370.02,27903.59,226675.66
"3995","Budget, Admn & Stats Analysis","MTA",76495.78,2018,0,"Prof & Tech Eng, Local 21",30976.16,14661.88,107471.94
"3996","Journeyman Trade","MTA",72564,2018,68412.08,"Electrical Workers, Local 6",37587.31,13906.92,178563.39
"3997","Street Transit","MTA",30322.74,2018,1856.05,"TWU, Local 250-A, TransitOpr",19196.86,7094.53,52686.4
"3998","Legal & Court","PDR",39643.72,2018,0,"Prof & Tech Eng, Local 21",12985.4,2356.17,52629.12
"3999","Airport Operation","POL",18060.85,2018,0,"SEIU, Local 1021, Misc",8260.12,3563.22,26832.37
"4000","Street Transit","MTA",30824.37,2018,1575.59,"TWU, Local 250-A, TransitOpr",19528.92,7086.66,52702.65
"4001","Community Development","MYR",106154.1,2018,0,"SEIU, Local 1021, Misc",43605.26,20364.96,149759.36
"4002","Probation & Parole","PDR",3756,2018,0,"SEIU, Local 1021, Misc",1860.74,725.42,5656.74
"4003","Police Services","POL",128114.85,2018,3644.15,"POA",40203.49,23501.83,172929.44
"4004","Street Transit","MTA",31205.43,2018,3212.78,"TWU, Local 250-A, TransitOpr",19796.3,7123.14,54768.38
"4005","Untitled","MYR",163718.06,2018,0,"Mgt. Unrepresented Employees",58977.14,30614.67,222695.2
"4006","Untitled","MYR",163717.06,2018,0,"Mgt. Unrepresented Employees",58261.72,30614.54,221978.78
